Event,Event_Group,Event_Type,Proposition,Main_Category,Simplified_Page_URL,Count,Event_Type_Count
Other_Action,Refined,Other,other_action (Other Action),Polityka-prywatnosci.html,polityka-prywatnosci,2,35061
Other_Action,Refined,Other,other_action (Other Action),Wyszukiwanie-query1529.html,wyszukiwanie-query1529,2,35061
Other_Action,Refined,Other,other_action (Other Action),Wyszukiwanie-query2242.html,wyszukiwanie-query2242,2,35061
Other_Action,Refined,Other,other_action (Other Action),Zamowienia-przegladaj.html,zamowienia-przegladaj,2,35061
Other_Action,Refined,Other,other_action (Other Action),Zamowienia-szczegoly-pdf-43158.html,zamowienia-szczegoly-pdf-43158,2,35061
Other_Action,Refined,Other,other_action (Other Action),Zamowienia-szczegoly-zs-42828.html,zamowienia-szczegoly-zs-42828,2,35061
Other_Action,Refined,Other,other_action (Other Action),Zamowienia-szczegoly-zs-42902.html,zamowienia-szczegoly-zs-42902,2,35061
Other_Action,Refined,Other,other_action (Other Action),Zamowienia-szczegoly-zs-43003.html,zamowienia-szczegoly-zs-43003,2,35061
Other_Action,Refined,Other,other_action (Other Action),Zamowienia-szczegoly-zs-43018.html,zamowienia-szczegoly-zs-43018,2,35061
Other_Action,Refined,Other,other_action (Other Action),Zamowienia-szczegoly-zs-43082.html,zamowienia-szczegoly-zs-43082,2,35061
Other_Action,Refined,Other,other_action (Other Action),Zamowienia-szczegoly-zs-43103.html,zamowienia-szczegoly-zs-43103,2,35061
Other_Action,Refined,Other,other_action (Other Action),Zamowienia-szczegoly-zs-43124.html,zamowienia-szczegoly-zs-43124,2,35061
Other_Action,Refined,Other,other_action (Other Action),Zamowienia-szczegoly-zs-43158.html,zamowienia-szczegoly-zs-43158,2,35061
Other_Action,Refined,Other,other_action (Other Action),?cpath=23&gclid=cjwkcaiaxmlvbrbneiwakhr-na9wzenzptnyzfkk7ornfr0lxad_nj5iq1epqz4nq-xg2iaoki8jfxockzeqavd_bwe,,1,35061
Other_Action,Refined,Other,other_action (Other Action),?fbclid=iwar0-_lk1w0nnaxvtj24hubxzdvezjlkyyghphys3gag7r_pftlvt129rv_m,,1,35061
Other_Action,Refined,Other,other_action (Other Action),?fbclid=iwar2hk5qbp8zpz4jr754roe682rhdgmrwa8jvstnhpl4hqnfa1f9t-eqho4g,,1,35061
